id_origem;cd_origem;id_categoria_economica;categoria_economica;nome
82;1;9;DEDUCOES DA RECEITA CORRENTE;"DEDUCAO DAS RECEITAS - IMPOSTO SOBRE TRANSMISSAO ""CAUSA MORTIS"" E DOACAO DE BENS E DIREITOS - MULTAS E JUROS"
83;0;0;SEM INFORMACAO;SEM INFORMACAO
84;7;9;DEDUCOES DA RECEITA CORRENTE;DEDUCAO DAS RECEITAS - COTA-PARTE DO IMPOSTO SOBRE PRODUTOS INDUSTRIALIZADOS - ESTADOS EXPORTADORES DE PRODUTOS INDUSTRIALIZADOS - PRINCIPAL
85;7;9;DEDUCOES DA RECEITA CORRENTE;DEDUCAO DAS RECEITAS - TRANSFERENCIA FINANCEIRA DO ICMS - DESONERACAO - L.C. NO 87/96
86;9;7;RECEITA INTRAORCAMENTARIA;RECEITA INTRAORCAMENTARIA - OUTRAS RECEITAS CORRENTES
87;1;9;DEDUCOES DA RECEITA CORRENTE;DEDUCAO DAS RECEITAS - IMPOSTO SOBRE A PROPRIEDADE DE VEICULOS AUTOMOTORES
88;1;9;DEDUCOES DA RECEITA CORRENTE;DEDUCAO DAS RECEITAS - IMPOSTO SOBRE A PROPRIEDADE DE VEICULOS AUTOMOTORES - DIVIDA ATIVA - MULTAS E JUROS
89;9;9;DEDUCOES DA RECEITA CORRENTE;DEDUCAO DAS RECEITAS - MULTAS PREVISTAS EM LEGISLACAO ESPECIFICA - PRINCIPAL - MULTA ISOLADA POR INFRACAO A OBRIGACAO ACESSORIA
90;7;9;DEDUCOES DA RECEITA CORRENTE;DEDUCAO DAS RECEITAS - PARTICIPACAO NA RECEITA DA UNIAO
91;1;9;DEDUCOES DA RECEITA CORRENTE;DEDUCAO DAS RECEITAS - IMPOSTO SOBRE A PROPRIEDADE DE VEICULOS AUTOMOTORES - PRINCIPAL - COTA PARTE DO ESTADO PARA O FUNDEB
92;7;7;RECEITA INTRAORCAMENTARIA;RECEITA INTRAORCAMENTARIA - TRANSFERENCIAS CORRENTES
93;9;9;DEDUCOES DA RECEITA CORRENTE;DEDUCAO DAS RECEITAS - MULTAS PREVISTAS EM LEGISLACAO ESPECIFICA - DIVIDA ATIVA - MULTA ISOLADA POR INFRACAO A OBRIGACAO ACESSORIA - CESSAO DE DIREITO
94;3;9;DEDUCOES DA RECEITA CORRENTE;DEDUCAO DAS RECEITAS - JUROS E CORRECOES MONETARIAS
95;7;9;DEDUCOES DA RECEITA CORRENTE;DEDUCAO DAS RECEITAS - COTA-PARTE DO FUNDO DE PARTICIPACAO DOS ESTADOS E DO DISTRITO FEDERAL - PRINCIPAL - FUNDEB
96;7;9;DEDUCOES DA RECEITA CORRENTE;DEDUCAO DAS RECEITAS - TRANSFERENCIA FINANCEIRA DO ICMS - DESONERACAO - L.C. NO 87/96 - PRINCIPAL
97;1;9;DEDUCOES DA RECEITA CORRENTE;"DEDUCAO DAS RECEITAS - IMPOSTO SOBRE TRANSMISSAO ""CAUSA MORTIS"" E DOACAO DE BENS E DIREITOS - PRINCIPAL"
98;1;9;DEDUCOES DA RECEITA CORRENTE;"DEDUCAO DAS RECEITAS - IMPOSTO SOBRE TRANSMISSAO ""CAUSA MORTIS"" E DOACAO DE BENS E DIREITOS - DIVIDA ATIVA"
99;1;9;DEDUCOES DA RECEITA CORRENTE;"DEDUCAO DAS RECEITAS - IMPOSTO SOBRE TRANSMISSAO ""CAUSA MORTIS"" E DOACAO DE BENS E DIREITOS - DIVIDA ATIVA - COTA PARTE DO ESTADO PARA O FUNDEB"
