id_tipo,cd_tipo,nome
313,0,CONTRIBUICAO PARA O DESENVOLVIMENTO DO ENSINO PROFISSIONAL MARITIMO
314,3,CONTRIBUICAO PARA O DESENVOLVIMENTO DO ENSINO PROFISSIONAL MARITIMO - DIVIDA ATIVA
315,4,ADICIONAL A CONTRIBUICAO PREVIDENCIARIA RURAL - DIVIDA ATIVA - MULTAS E JUROS
316,0,OUTRAS RECEITAS IMOBILIARIAS
317,0,OUTRAS CONCESSOES FLORESTAIS - DEMAIS VALORES
318,4,CONTRATOS DE TRANSICAO DE CONCESSAO FLORESTAL - DIVIDA ATIVA - MULTAS E JUROS
319,1,SUPRESSAO VEGETAL NO INTERIOR DAS FLORESTAS NACIONAIS - PRINCIPAL
320,2,EMOLUMENTOS E CUSTAS JUDICIAIS - MULTAS E JUROS
321,4,EMOLUMENTOS E CUSTAS JUDICIAIS - DIVIDA ATIVA - MULTAS E JUROS
322,1,OUTRAS CONTRIBUICOES SOCIAIS - PRINCIPAL
323,0,JUROS E CORRECOES MONETARIAS
324,1,JUROS DE TITULOS DE RENDA - PRINCIPAL
325,1,JUROS SOBRE O CAPITAL PROPRIO - PRINCIPAL
326,1,CONTRIBUICAO DE MELHORIA PARA EXPANSAO DA REDE DE ILUMINACAO PUBLICA NA CIDADE - PRINCIPAL
327,0,CONTRIBUICOES
328,0,EXPLORACAO DO PATRIMONIO INTANGIVEL
329,0,DIREITO DE USO DA IMAGEM E DE REPRODUCAO DOS BENS DO ACERVO PATRIMONIAL
330,1,CONTRIBUICOES PARA O REGIME GERAL DE PREVIDENCIA SOCIAL - RGPS - PRINCIPAL
331,1,DELEGACAO PARA A PRESTACAO DOS SERVICOS DE TRANSPORTE RODOVIARIO - PRINCIPAL
332,0,CESSAO DO DIREITO DE OPERACIONALIZACAO DE PAGAMENTOS
333,0,TRANSFERENCIAS ADVINDAS DE EMENDAS PARLAMENTARES INDIVIDUAIS
334,0,TRANSFERENCIA DE CONVENIOS DA UNIAO E DE SUAS ENTIDADES
